"arc_length","p_element"
42.384,-57.2342
42.432,-57.2342
42.48,-57.2342
42.528,-57.2342
42.576,-57.2342
42.624,-57.2342
42.672,-57.2342
42.72,-57.2342
42.768,-57.2342
42.816,-57.2342
42.864,-57.2342
42.912,-57.2342
42.96,-57.2342
43.008,-57.2342
43.056,-57.2342
43.104,-57.2342
43.152,-57.2342
43.2,-57.2342
43.248,-57.2342
43.296,-57.2342
43.344,-57.2342
43.392,-57.2342
43.44,-57.2342
43.488,-57.2342
43.536,106.389
43.584,41.4594
43.632,41.4594
43.68,41.4594
43.728,41.4594
43.776,41.4594
43.824,41.4594
43.872,41.4594
43.92,41.4594
43.968,41.4594
44.016,41.4594
44.064,41.4594
44.112,41.4594
44.16,41.4594
44.208,41.4594
44.256,41.4594
44.304,41.4594
44.352,41.4594
44.4,41.4594
44.448,41.4594
44.496,41.4594
44.544,41.4594
44.592,41.4594
44.64,41.4594
44.688,41.4594
44.736,41.4594
44.784,41.4594
44.832,41.4594
44.88,41.4594
44.928,41.4594
44.976,41.4594
45.024,-70.5033
45.072,97.3665
45.12,97.3665
45.168,97.3665
45.216,97.3665
45.264,97.3665
45.312,97.3665
45.36,97.3665
45.408,97.3665
45.456,97.3665
45.504,97.3665
45.552,97.3665
45.6,97.3665
45.648,97.3665
45.696,97.3665
45.744,97.3665
45.792,97.3665
45.84,97.3665
45.888,97.3665
45.936,97.3665
45.984,97.3665
46.032,97.3665
46.08,97.3665
46.128,97.3665
46.176,97.3665
46.224,97.3665
46.272,97.3665
46.32,97.3665
46.368,97.3665
46.416,97.3665
46.464,97.3665
46.512,-45.6448
46.56,-45.6448
46.608,6.6945
46.656,6.6945
46.704,6.6945
46.752,6.6945
46.8,6.6945
46.848,6.6945
46.896,6.6945
46.944,6.6945
46.992,6.6945
47.04,6.6945
47.088,6.6945
47.136,6.6945
47.184,6.6945
47.232,6.6945
47.28,6.6945
47.328,6.6945
47.376,6.6945
47.424,6.6945
47.472,6.6945
47.52,6.6945
47.568,6.6945
47.616,6.6945
47.664,6.6945
47.712,6.6945
47.76,6.6945
47.808,6.6945
47.856,6.6945
47.904,6.6945
47.952,6.6945
48,6.6945
